turn_id,正念覺察,自我慈悲,身體接地,認知重構,情緒釋放,轉移注意,社會支持
2,1,0,0,0,0,0,1
3,8,4,2,2,2,0,1
7,0,1,0,1,0,1,1
9,3,3,4,3,7,2,1
11,4,3,1,0,4,1,3
13,5,2,0,0,0,0,0
16,0,0,0,0,0,0,1
19,1,0,1,0,1,0,0
21,0,0,1,0,0,0,0
23,0,1,1,0,0,0,0
26,1,1,2,0,0,0,1
28,1,1,1,0,0,0,1
30,0,2,1,0,0,0,0
33,1,0,1,0,0,1,2
35,0,0,0,1,0,0,0
36,1,4,2,0,5,1,1
38,2,0,2,0,1,0,0
40,5,0,4,1,1,1,0
42,2,4,1,1,0,0,11
44,2,0,1,0,0,1,1
46,4,0,2,0,0,0,1
48,1,2,0,0,0,0,1
50,1,1,0,0,0,0,0
52,0,0,1,1,1,0,0
54,1,0,0,0,0,0,0
56,1,1,0,0,0,0,2
59,0,1,1,0,0,0,0
63,5,0,1,0,2,0,0
65,2,0,0,1,0,0,1
68,0,2,0,0,2,0,1
70,1,0,0,0,0,0,0
72,2,1,0,0,0,0,0
74,3,0,0,0,1,0,0
76,1,0,0,0,0,0,0
78,3,1,0,0,1,0,0
80,2,0,0,0,0,0,0
82,3,0,0,0,0,0,0
85,3,1,0,1,1,0,0
87,3,1,0,0,0,0,0
89,1,0,0,0,0,0,0
91,2,0,0,0,0,0,0
93,1,1,0,0,0,1,0
95,9,0,0,0,0,1,1
97,2,0,0,0,0,0,0
99,0,2,0,0,0,0,2
101,0,1,0,0,0,0,1
106,3,0,0,0,1,0,0
108,3,0,0,0,0,0,0
110,3,0,0,0,0,0,0
112,0,1,0,0,0,0,1
116,2,0,0,0,0,0,1
119,1,0,0,0,0,0,0
122,0,1,0,0,0,0,0
128,2,0,0,0,0,0,0
130,1,0,0,0,0,0,0
132,2,0,0,0,0,0,0
134,2,0,0,0,1,0,1
136,1,1,0,0,0,0,0
138,1,2,0,0,0,0,0
142,0,1,1,1,0,0,3
144,5,1,0,0,2,0,0
146,2,1,0,0,0,0,0
148,11,0,0,0,0,0,0
150,3,1,0,0,0,0,1
152,2,0,0,0,0,0,1
156,2,0,0,0,0,0,4
159,0,1,0,0,0,0,0
161,2,1,0,0,0,0,0
164,1,0,0,0,1,0,1
166,1,0,0,0,0,0,2
169,2,0,0,0,0,0,0
172,1,0,0,0,1,0,0
174,12,4,0,1,0,0,0
176,1,1,0,0,0,0,0
180,1,0,0,0,0,0,0
182,1,3,0,0,0,0,3
184,1,1,0,0,0,0,2
185,1,0,0,0,0,0,0
187,1,2,0,0,1,0,0
190,1,0,1,0,0,0,0
191,2,0,0,0,0,0,0
193,3,0,0,1,0,0,1
196,0,0,0,1,0,0,0
198,4,2,0,0,0,0,1
200,0,0,0,0,0,0,1
203,2,1,0,0,0,0,1
213,0,1,0,0,0,0,1
219,0,0,0,0,0,0,1
221,0,0,0,0,0,0,1
