turn_id,speaker,負面高強度,負面中強度,中性/過渡,正面低強度,正面高強度,total_negative,total_positive
0,User,1,0,0,0,0,1,0
1,User,6,0,1,0,0,6,0
2,Gemini,0,0,0,1,0,0,1
3,Gemini,11,1,4,0,3,12,3
4,User,1,0,0,1,0,1,1
5,Gemini,0,0,0,0,0,0,0
6,User,2,0,0,0,0,2,0
7,Gemini,4,0,0,1,0,4,1
8,User,2,0,0,0,2,2,2
9,Gemini,3,0,2,2,9,3,11
10,User,2,0,0,0,0,2,0
11,Gemini,12,1,2,2,0,13,2
12,User,0,0,2,0,0,0,0
13,Gemini,2,0,2,0,1,2,1
14,User,0,0,0,0,0,0,0
15,User,0,0,0,0,0,0,0
16,Gemini,0,0,0,0,0,0,0
17,User,0,0,0,0,0,0,0
18,User,1,0,0,0,0,1,0
19,Gemini,4,0,0,0,0,4,0
20,User,0,0,0,0,0,0,0
21,Gemini,1,0,0,0,0,1,0
22,User,1,0,1,3,0,1,3
23,Gemini,0,0,0,2,0,0,2
24,User,0,0,4,6,0,0,6
25,User,0,1,0,5,0,1,5
26,Gemini,0,0,1,1,0,0,1
27,User,0,0,0,0,0,0,0
28,Gemini,0,0,3,1,0,0,1
29,User,4,0,0,0,0,4,0
30,Gemini,10,1,0,2,2,11,4
31,User,1,0,1,1,1,1,2
32,User,0,0,0,0,1,0,1
33,Gemini,7,0,1,1,7,7,8
34,User,1,0,1,0,2,1,2
35,Gemini,2,0,0,0,2,2,2
36,Gemini,6,1,1,2,7,7,9
37,User,1,0,0,0,0,1,0
38,Gemini,8,0,1,1,2,8,3
39,User,3,1,4,0,1,4,1
40,Gemini,5,0,11,2,5,5,7
41,User,0,0,0,0,1,0,1
42,Gemini,4,0,1,5,3,4,8
43,User,0,1,0,1,1,1,2
44,Gemini,0,0,1,2,0,0,2
45,User,4,0,0,1,0,4,1
46,Gemini,11,0,3,1,1,11,2
47,User,0,0,0,1,0,0,1
48,Gemini,5,0,1,3,0,5,3
49,User,0,0,0,0,1,0,1
50,Gemini,1,0,1,3,2,1,5
51,User,0,0,1,0,0,0,0
